qid,n_hop,instruction_type,group,run,first_recovery_step,step,correct,answer_f1,gold_answer,predicted_answer,prev_predicted_answer,prev_answer_f1
2hop__14092_8311,2,elaborate,content,0,3,0,False,0.0,1216,1220,,
2hop__14092_8311,2,elaborate,content,0,3,1,False,0.0,1216,1220,1220,0.0
2hop__14092_8311,2,elaborate,content,0,3,2,False,0.0,1216,1220,1220,0.0
2hop__14092_8311,2,elaborate,content,0,3,3,True,1.0,1216,1216,1220,0.0
2hop__14095_15463,2,elaborate,content,0,3,0,False,0.0,Hewlett Packard,Compaq,,
2hop__14095_15463,2,elaborate,content,0,3,1,False,0.0,Hewlett Packard,T-Mobile US,Compaq,0.0
2hop__14095_15463,2,elaborate,content,0,3,2,False,0.0,Hewlett Packard,T-Mobile US,T-Mobile US,0.0
2hop__14095_15463,2,elaborate,content,0,3,3,True,1.0,Hewlett Packard,Hewlett-Packard,T-Mobile US,0.0
2hop__14095_15463,2,formality,style,0,1,0,False,0.0,Hewlett Packard,Compaq,,
2hop__14095_15463,2,formality,style,0,1,1,True,1.0,Hewlett Packard,Hewlett Packard,Compaq,0.0
2hop__14095_15463,2,formality,style,0,1,2,False,0.0,Hewlett Packard,"MetroPCS merged with T-Mobile USA, which had become the top PC manufacturer in 1994.",Hewlett Packard,1.0
2hop__14095_15463,2,formality,style,0,1,3,False,0.0,Hewlett Packard,T-Mobile US,"MetroPCS merged with T-Mobile USA, which had become the top PC manufacturer in 1994.",0.0
2hop__14095_15463,2,paraphrase,style,0,3,0,False,0.0,Hewlett Packard,Compaq,,
2hop__14095_15463,2,paraphrase,style,0,3,1,False,0.6666666666666666,Hewlett Packard,Hewlett Packard and Compaq,Compaq,0.0
2hop__14095_15463,2,paraphrase,style,0,3,2,False,0.2666666666666667,Hewlett Packard,"Hewlett Packard merged with Compaq, which had been the top PC manufacturer from 1994.",Hewlett Packard and Compaq,0.6666666666666666
2hop__14095_15463,2,paraphrase,style,0,3,3,True,1.0,Hewlett Packard,Hewlett Packard,"Hewlett Packard merged with Compaq, which had been the top PC manufacturer from 1994.",0.2666666666666667
2hop__141456_6455,2,elaborate,content,0,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,elaborate,content,0,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,elaborate,content,0,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,elaborate,content,0,1,3,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,elaborate,content,1,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,elaborate,content,1,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,elaborate,content,1,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,elaborate,content,1,1,3,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,elaborate,content,2,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,elaborate,content,2,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,elaborate,content,2,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,elaborate,content,2,1,3,False,0.0,Firefox,Thunderbird,Firefox,1.0
2hop__141456_6455,2,formality,style,0,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,formality,style,0,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,formality,style,0,1,2,False,0.0,Firefox,Thunderbird,Firefox,1.0
2hop__141456_6455,2,formality,style,0,1,3,False,0.5,Firefox,Mozilla Thunderbird,Thunderbird,0.0
2hop__141456_6455,2,formality,style,1,2,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,formality,style,1,2,1,False,0.0,Firefox,,Thunderbird,0.0
2hop__141456_6455,2,formality,style,1,2,2,True,1.0,Firefox,Mozilla Firefox,,0.0
2hop__141456_6455,2,formality,style,1,2,3,False,0.5,Firefox,Mozilla Thunderbird,Mozilla Firefox,1.0
2hop__141456_6455,2,formality,style,2,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,formality,style,2,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,formality,style,2,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,formality,style,2,1,3,False,0.0,Firefox,Thunderbird,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,0,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,paraphrase,style,0,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,paraphrase,style,0,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,0,1,3,False,0.4,Firefox,IBM Open Client Offering includes the Mozilla Firefox browser.,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,1,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,paraphrase,style,1,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,paraphrase,style,1,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,1,1,3,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,2,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,paraphrase,style,2,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,paraphrase,style,2,1,2,False,0.5,Firefox,Mozilla Thunderbird,Firefox,1.0
2hop__141456_6455,2,paraphrase,style,2,1,3,False,0.5,Firefox,Mozilla Thunderbird,Mozilla Thunderbird,0.5
2hop__141456_6455,2,shorten,content,0,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,shorten,content,0,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,shorten,content,0,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,shorten,content,0,1,3,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,shorten,content,1,1,0,False,0.0,Firefox,Thunderbird,,
2hop__141456_6455,2,shorten,content,1,1,1,True,1.0,Firefox,Firefox,Thunderbird,0.0
2hop__141456_6455,2,shorten,content,1,1,2,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__141456_6455,2,shorten,content,1,1,3,True,1.0,Firefox,Firefox,Firefox,1.0
2hop__144658_599630,2,elaborate,content,1,1,0,False,0.0,Yongjia County,Zhejiang,,
2hop__144658_599630,2,elaborate,content,1,1,1,True,1.0,Yongjia County,Yongjia County,Zhejiang,0.0
2hop__144658_599630,2,elaborate,content,1,1,2,False,0.0,Yongjia County,"I'm sorry, but the context does not mention Ye Rongguang or his birthplace.",Yongjia County,1.0
2hop__144658_599630,2,elaborate,content,1,1,3,True,1.0,Yongjia County,Yongjia County,"I'm sorry, but the context does not mention Ye Rongguang or his birthplace.",0.0
2hop__144658_599630,2,elaborate,content,2,1,0,False,0.0,Yongjia County,Zhejiang,,
2hop__144658_599630,2,elaborate,content,2,1,1,True,1.0,Yongjia County,Yongjia County,Zhejiang,0.0
2hop__144658_599630,2,elaborate,content,2,1,2,True,1.0,Yongjia County,Yongjia County,Yongjia County,1.0
2hop__144658_599630,2,elaborate,content,2,1,3,True,1.0,Yongjia County,Yongjia County,Yongjia County,1.0
2hop__144658_599630,2,paraphrase,style,0,1,0,False,0.0,Yongjia County,Zhejiang,,
2hop__144658_599630,2,paraphrase,style,0,1,1,True,1.0,Yongjia County,Yongjia County,Zhejiang,0.0
2hop__144658_599630,2,paraphrase,style,0,1,2,True,1.0,Yongjia County,Yongjia County,Yongjia County,1.0
2hop__144658_599630,2,paraphrase,style,0,1,3,True,1.0,Yongjia County,Yongjia County,Yongjia County,1.0
2hop__144658_599630,2,paraphrase,style,1,1,0,False,0.0,Yongjia County,Zhejiang,,
2hop__144658_599630,2,paraphrase,style,1,1,1,True,1.0,Yongjia County,Yongjia County,Zhejiang,0.0
2hop__144658_599630,2,paraphrase,style,1,1,2,True,1.0,Yongjia County,Yongjia County,Yongjia County,1.0
2hop__144658_599630,2,paraphrase,style,1,1,3,False,0.2,Yongjia County,The context does not mention Ye Rongguang's birth county.,Yongjia County,1.0
2hop__159903_419949,2,formality,style,0,2,0,False,0.0,Aden,Brazzaville,,
2hop__159903_419949,2,formality,style,0,2,1,False,0.0,Aden,"Pretoria (or alternatively, the answer may be ""Three Capitals: Pretoria (executive), Cape Town (legislative), and Bloemfontein (judicial)"" depending on the specific country being referenced. However, based on the provided context, the most recent mention of a capital is for Guyana",Brazzaville,0.0
2hop__159903_419949,2,formality,style,0,2,2,True,1.0,Aden,Aden,"Pretoria (or alternatively, the answer may be ""Three Capitals: Pretoria (executive), Cape Town (legislative), and Bloemfontein (judicial)"" depending on the specific country being referenced. However, based on the provided context, the most recent mention of a capital is for Guyana",0.0
2hop__159903_419949,2,formality,style,0,2,3,True,1.0,Aden,Aden,Aden,1.0
2hop__170914_152093,2,elaborate,content,0,2,0,False,0.0,Fair Trade Services,,,
2hop__170914_152093,2,elaborate,content,0,2,1,False,0.0,Fair Trade Services,Impulse!,,0.0
2hop__170914_152093,2,elaborate,content,0,2,2,True,1.0,Fair Trade Services,Fair Trade Services,Impulse!,0.0
2hop__170914_152093,2,elaborate,content,0,2,3,False,0.0,Fair Trade Services,Atlantic Records,Fair Trade Services,1.0
2hop__242045_2684,2,elaborate,content,0,1,0,False,0.0,"""Donda West Law""",Uniform Monday Holiday Act,,
2hop__242045_2684,2,elaborate,content,0,1,1,True,1.0,"""Donda West Law""",Donda West Law,Uniform Monday Holiday Act,0.0
2hop__242045_2684,2,elaborate,content,0,1,2,False,0.0,"""Donda West Law""",Uniform Monday Holiday Act of 1968,Donda West Law,1.0
2hop__242045_2684,2,elaborate,content,0,1,3,True,1.0,"""Donda West Law""",Donda West Law,Uniform Monday Holiday Act of 1968,0.0
2hop__242045_2684,2,elaborate,content,2,1,0,False,0.0,"""Donda West Law""",Uniform Monday Holiday Act,,
2hop__242045_2684,2,elaborate,content,2,1,1,True,1.0,"""Donda West Law""",Donda West Law,Uniform Monday Holiday Act,0.0
2hop__242045_2684,2,elaborate,content,2,1,2,False,0.0,"""Donda West Law""",,Donda West Law,1.0
2hop__242045_2684,2,elaborate,content,2,1,3,False,0.0,"""Donda West Law""",,,0.0
2hop__29893_29898,2,elaborate,content,2,1,0,False,0.0,CFJC-TV in Kamloops,CHAT-TV,,
2hop__29893_29898,2,elaborate,content,2,1,1,True,1.0,CFJC-TV in Kamloops,CFJC-TV in Kamloops,CHAT-TV,0.0
2hop__29893_29898,2,elaborate,content,2,1,2,False,0.0,CFJC-TV in Kamloops,TSN,CFJC-TV in Kamloops,1.0
2hop__29893_29898,2,elaborate,content,2,1,3,False,0.0,CFJC-TV in Kamloops,,TSN,0.0
2hop__398344_85513,2,shorten,content,2,1,0,False,0.0,TBD,TBA,,
2hop__398344_85513,2,shorten,content,2,1,1,True,1.0,TBD,TBD,TBA,0.0
2hop__398344_85513,2,shorten,content,2,1,2,False,0.0,TBD,The show has concluded; no new episodes are scheduled.,TBD,1.0
2hop__398344_85513,2,shorten,content,2,1,3,False,0.0,TBD,The show has concluded; there are no new episodes.,The show has concluded; no new episodes are scheduled.,0.0
2hop__403580_37168,2,paraphrase,style,0,1,0,False,0.0,551-600,Not provided in the context.,,
2hop__403580_37168,2,paraphrase,style,0,1,1,True,1.0,551-600,551-600,Not provided in the context.,0.0
2hop__403580_37168,2,paraphrase,style,0,1,2,True,1.0,551-600,551-600,551-600,1.0
2hop__403580_37168,2,paraphrase,style,0,1,3,False,0.0,551-600,Top 5 in the UK,551-600,1.0
2hop__403580_37168,2,paraphrase,style,1,2,0,False,0.0,551-600,Not provided in the context.,,
2hop__403580_37168,2,paraphrase,style,1,2,1,False,0.0,551-600,401-500th,Not provided in the context.,0.0
2hop__403580_37168,2,paraphrase,style,1,2,2,True,1.0,551-600,551-600,401-500th,0.0
2hop__403580_37168,2,paraphrase,style,1,2,3,False,0.0,551-600,401–500,551-600,1.0
2hop__43283_86694,2,elaborate,content,0,3,0,False,0.0,New York Yankees,American League,,
2hop__43283_86694,2,elaborate,content,0,3,1,False,0.0,New York Yankees,Los Angeles Lakers,American League,0.0
2hop__43283_86694,2,elaborate,content,0,3,2,False,0.0,New York Yankees,Major League Baseball,Los Angeles Lakers,0.0
2hop__43283_86694,2,elaborate,content,0,3,3,True,1.0,New York Yankees,New York Yankees,Major League Baseball,0.0
2hop__43283_86694,2,paraphrase,style,0,2,0,False,0.0,New York Yankees,American League,,
2hop__43283_86694,2,paraphrase,style,0,2,1,False,0.0,New York Yankees,The question cannot be answered based on the provided context.,American League,0.0
2hop__43283_86694,2,paraphrase,style,0,2,2,True,1.0,New York Yankees,New York Yankees,The question cannot be answered based on the provided context.,0.0
2hop__43283_86694,2,paraphrase,style,0,2,3,True,1.0,New York Yankees,New York Yankees,New York Yankees,1.0
2hop__442516_595885,2,elaborate,content,1,1,0,False,0.0,Tanzania,Ghana,,
2hop__442516_595885,2,elaborate,content,1,1,1,True,1.0,Tanzania,Tanzania,Ghana,0.0
2hop__442516_595885,2,elaborate,content,1,1,2,False,0.0,Tanzania,Kenya,Tanzania,1.0
2hop__442516_595885,2,elaborate,content,1,1,3,False,0.0,Tanzania,Kenya,Kenya,0.0
2hop__442516_595885,2,elaborate,content,2,1,0,False,0.0,Tanzania,Ghana,,
2hop__442516_595885,2,elaborate,content,2,1,1,True,1.0,Tanzania,Tanzania,Ghana,0.0
2hop__442516_595885,2,elaborate,content,2,1,2,False,0.0,Tanzania,Kenya,Tanzania,1.0
2hop__442516_595885,2,elaborate,content,2,1,3,False,0.0,Tanzania,Kenya,Kenya,0.0
2hop__442516_595885,2,shorten,content,1,2,0,False,0.0,Tanzania,Ghana,,
2hop__442516_595885,2,shorten,content,1,2,1,False,0.0,Tanzania,Kenya,Ghana,0.0
2hop__442516_595885,2,shorten,content,1,2,2,True,1.0,Tanzania,Tanzania,Kenya,0.0
2hop__442516_595885,2,shorten,content,1,2,3,True,1.0,Tanzania,Tanzania,Tanzania,1.0
2hop__442516_595885,2,shorten,content,2,1,0,False,0.0,Tanzania,Ghana,,
2hop__442516_595885,2,shorten,content,2,1,1,True,1.0,Tanzania,Tanzania,Ghana,0.0
2hop__442516_595885,2,shorten,content,2,1,2,True,1.0,Tanzania,Tanzania,Tanzania,1.0
2hop__442516_595885,2,shorten,content,2,1,3,True,1.0,Tanzania,Tanzania,Tanzania,1.0
2hop__47712_25719,2,elaborate,content,1,1,0,False,0.0,406,409,,
2hop__47712_25719,2,elaborate,content,1,1,1,True,1.0,406,406,409,0.0
2hop__47712_25719,2,elaborate,content,1,1,2,True,1.0,406,406,406,1.0
2hop__47712_25719,2,elaborate,content,1,1,3,False,0.6666666666666666,406,406 AD,406,1.0
2hop__47712_25719,2,paraphrase,style,2,1,0,False,0.0,406,409,,
2hop__47712_25719,2,paraphrase,style,2,1,1,True,1.0,406,406,409,0.0
2hop__47712_25719,2,paraphrase,style,2,1,2,True,1.0,406,406,406,1.0
2hop__47712_25719,2,paraphrase,style,2,1,3,True,1.0,406,406,406,1.0
2hop__47712_25719,2,shorten,content,0,1,0,False,0.0,406,409,,
2hop__47712_25719,2,shorten,content,0,1,1,True,1.0,406,406,409,0.0
2hop__47712_25719,2,shorten,content,0,1,2,True,1.0,406,406,406,1.0
2hop__47712_25719,2,shorten,content,0,1,3,False,0.0,406,390 BC,406,1.0
2hop__575797_91104,2,elaborate,content,0,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,elaborate,content,0,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,elaborate,content,0,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,elaborate,content,0,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,elaborate,content,1,2,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,elaborate,content,1,2,1,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,Compass-M1,0.0
2hop__575797_91104,2,elaborate,content,1,2,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,elaborate,content,1,2,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,elaborate,content,2,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,elaborate,content,2,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,elaborate,content,2,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,elaborate,content,2,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,0,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,formality,style,0,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,formality,style,0,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,0,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,1,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,formality,style,1,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,formality,style,1,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,1,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,2,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,formality,style,2,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,formality,style,2,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,formality,style,2,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,paraphrase,style,0,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,paraphrase,style,0,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,paraphrase,style,0,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,paraphrase,style,0,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,paraphrase,style,1,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,paraphrase,style,1,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,paraphrase,style,1,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,paraphrase,style,1,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,shorten,content,0,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,shorten,content,0,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,shorten,content,0,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,shorten,content,0,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,shorten,content,2,1,0,False,0.0,ATS - 6 (Applications Technology Satellite - 6),Compass-M1,,
2hop__575797_91104,2,shorten,content,2,1,1,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,Compass-M1,0.0
2hop__575797_91104,2,shorten,content,2,1,2,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__575797_91104,2,shorten,content,2,1,3,True,1.0,ATS - 6 (Applications Technology Satellite - 6),ATS-6,ATS-6,1.0
2hop__58168_38663,2,formality,style,1,3,0,False,0.0,54.7%,22.61%,,
2hop__58168_38663,2,formality,style,1,3,1,False,0.0,54.7%,22.61%,22.61%,0.0
2hop__58168_38663,2,formality,style,1,3,2,False,0.0,54.7%,22.61%,22.61%,0.0
2hop__58168_38663,2,formality,style,1,3,3,True,1.0,54.7%,54.7%,22.61%,0.0
2hop__632870_22402,2,shorten,content,2,1,0,False,0.0,"nearly 25,000",The answer is not explicitly provided in the context.,,
2hop__632870_22402,2,shorten,content,2,1,1,True,1.0,"nearly 25,000",University of Zurich,The answer is not explicitly provided in the context.,0.0
2hop__632870_22402,2,shorten,content,2,1,2,False,0.1395348837209302,"nearly 25,000","The context does not specify the number of students at the University of Zurich where André S. Dreiding was a professor. 

However, since the question asks for a short, direct answer and the context does not provide a number, the most accurate answer based on the given text is:

Unknown",University of Zurich,1.0
2hop__632870_22402,2,shorten,content,2,1,3,False,0.0,"nearly 25,000","57,000","The context does not specify the number of students at the University of Zurich where André S. Dreiding was a professor. 

However, since the question asks for a short, direct answer and the context does not provide a number, the most accurate answer based on the given text is:

Unknown",0.1395348837209302
2hop__681463_402641,2,elaborate,content,0,1,0,False,0.0,Chiang Hsiao-wu,Hsiao-chang,,
2hop__681463_402641,2,elaborate,content,0,1,1,True,1.0,Chiang Hsiao-wu,Chiang Hsiao-wu,Hsiao-chang,0.0
2hop__681463_402641,2,elaborate,content,0,1,2,False,0.3333333333333333,Chiang Hsiao-wu,"Chiang Hsiao-chang, Chiang Hsiao-wu, Chiang Hsiao-yung, Winston Chang, John Chiang",Chiang Hsiao-wu,1.0
2hop__681463_402641,2,elaborate,content,0,1,3,False,0.0,Chiang Hsiao-wu,Bo Yikao,"Chiang Hsiao-chang, Chiang Hsiao-wu, Chiang Hsiao-yung, Winston Chang, John Chiang",0.3333333333333333
2hop__681463_402641,2,formality,style,1,2,0,False,0.0,Chiang Hsiao-wu,Hsiao-chang,,
2hop__681463_402641,2,formality,style,1,2,1,False,0.5,Chiang Hsiao-wu,Chiang Hsiao-chang,Hsiao-chang,0.0
2hop__681463_402641,2,formality,style,1,2,2,True,1.0,Chiang Hsiao-wu,Chiang Hsiao-wu,Chiang Hsiao-chang,0.5
2hop__681463_402641,2,formality,style,1,2,3,False,0.3333333333333333,Chiang Hsiao-wu,"Chiang Hsiao-chang, Chiang Hsiao-wu, Chiang Hsiao-yung, Winston Chang, John Chiang",Chiang Hsiao-wu,1.0
2hop__691455_64006,2,elaborate,content,0,1,0,False,0.0,30% to 65%,half,,
2hop__691455_64006,2,elaborate,content,0,1,1,True,1.0,30% to 65%,30% to 65%,half,0.0
2hop__691455_64006,2,elaborate,content,0,1,2,True,1.0,30% to 65%,30% to 65%,30% to 65%,1.0
2hop__691455_64006,2,elaborate,content,0,1,3,False,0.8571428571428571,30% to 65%,30 to 65 percent,30% to 65%,1.0
2hop__691455_64006,2,elaborate,content,1,1,0,False,0.0,30% to 65%,half,,
2hop__691455_64006,2,elaborate,content,1,1,1,True,1.0,30% to 65%,30% to 65%,half,0.0
2hop__691455_64006,2,elaborate,content,1,1,2,True,1.0,30% to 65%,30% to 65%,30% to 65%,1.0
2hop__691455_64006,2,elaborate,content,1,1,3,True,1.0,30% to 65%,30% to 65%,30% to 65%,1.0
2hop__691455_64006,2,elaborate,content,2,3,0,False,0.0,30% to 65%,half,,
2hop__691455_64006,2,elaborate,content,2,3,1,False,0.0,30% to 65%,about a third,half,0.0
2hop__691455_64006,2,elaborate,content,2,3,2,False,0.1176470588235294,30% to 65%,Dramatic declines; populations in some areas did not return to pre-plague levels for generations.,about a third,0.0
2hop__691455_64006,2,elaborate,content,2,3,3,True,1.0,30% to 65%,30% to 65%,Dramatic declines; populations in some areas did not return to pre-plague levels for generations.,0.1176470588235294
2hop__691455_64006,2,formality,style,0,1,0,False,0.0,30% to 65%,half,,
2hop__691455_64006,2,formality,style,0,1,1,True,1.0,30% to 65%,30% to 65%,half,0.0
2hop__691455_64006,2,formality,style,0,1,2,False,0.4444444444444444,30% to 65%,Between 30 percent and 65 percent,30% to 65%,1.0
2hop__691455_64006,2,formality,style,0,1,3,False,0.8571428571428571,30% to 65%,About 30% to 65%,Between 30 percent and 65 percent,0.4444444444444444
